id_inscription,id_etudiant,id_classe,date_inscription,statut,type_inscription,bourse,reduction
54366176-f4d8-45eb-a0c2-b964110829d8,256dc58f-233d-46bb-9244-752ec259e47a,960ab021-835c-40b9-8e16-21e923dbada9,2026-07-06,EN ATTENTE,,True,10.0
7ade9cdd-0855-48d9-b14d-294382cad853,05450899-8fdb-465b-a7f8-a8a6c30dfd6e,2616a3e2-2efa-4aa4-9aff-da4e6d3c1201,2025-03-23,UNKNOWN,Nouvelle,False,-20.0
00b227b1-dfc7-48a5-ae1a-0c827847cd9b,d947dffb-5881-421b-9827-4fdc2af5e810,ac40aeeb-e2de-4e1f-bb76-1fa0a450baf3,2025-03-05,INSCRIT,NOUVELLE,True,-20.0
2be08e9e-4a1c-459f-bf4c-0cd0f1558553,afa8f668-61e1-486a-bc2e-ef206865f4dc,a27d917d-8158-44ec-971f-88022da8bcfa,2025-11-01,ANNULE,NOUVELLE,True,-20.0
f204a013-3182-45db-a6ba-7e8ee2fcc7b4,7d16196b-3695-4f49-85cb-328b88f2d8c0,ac634fc0-70f5-4dee-a5fa-52c348fba81c,2026-02-23,UNKNOWN,Reinscription,True,10.0
ad7c8589-d1ae-44d3-aef8-a0844d51c525,65cc0869-7efa-4f92-ade0-9f3d2b899f07,2273a1a4-dd6a-43f8-97de-67db2649ba4c,2025-08-21,EN ATTENTE,Reinscription,True,10.0
7e7b650a-b03f-4513-bbcc-0af9f73427a2,ef752832-e8d6-44a4-b277-ecd5b8c92711,2616a3e2-2efa-4aa4-9aff-da4e6d3c1201,2025-04-17,ANNULE,NOUVELLE,True,150.0
e527b8f7-d05b-4ffd-9160-c6c29e4df7e2,dd6dfaa8-f0de-43c8-8984-11d4f6fbda04,960ab021-835c-40b9-8e16-21e923dbada9,2026-05-22,EN ATTENTE,Reinscription,False,-20.0
b00bd8fd-69f1-4b3c-9511-d7b9610e3c48,d4cba6f9-62d5-4ad5-b625-fa02ccdd60fc,ac40aeeb-e2de-4e1f-bb76-1fa0a450baf3,2024-12-29,UNKNOWN,,,0.0
a11329e0-2526-4665-9b7c-5b4b3a8ff051,57e0f44c-43f3-4adf-a96e-6c1fa8af72a3,ac634fc0-70f5-4dee-a5fa-52c348fba81c,2024-12-24,UNKNOWN,,False,150.0
52bf1a49-e95d-462e-a010-b5c33d8cd26f,11fa6f19-72d5-4a03-901f-df6b1d05b1b1,b4993e40-250f-4208-9f0f-6873b0b403ac,2025-03-19,INSCRIT,Reinscription,False,-20.0
5bd7f970-3c78-4f54-93b9-02876d8243c0,0a9f076a-8227-43a4-87f2-43670a0d7c1d,2273a1a4-dd6a-43f8-97de-67db2649ba4c,2026-07-22,ANNULE,,True,150.0
9335ccf6-7922-453e-8aa4-d83d19ce6e8c,69aec477-1183-42f3-b5f9-d947ba2598fb,ac40aeeb-e2de-4e1f-bb76-1fa0a450baf3,2024-10-30,EN ATTENTE,Nouvelle,,25.0
168a02c1-5111-4b1e-870c-c58989b53ae2,094cc154-8862-47d1-a704-4a8190f60094,2273a1a4-dd6a-43f8-97de-67db2649ba4c,2025-08-05,UNKNOWN,Nouvelle,False,-20.0
4032e009-26d9-4312-a5a5-2088ea78a358,91070889-4ce9-4bac-93f8-1f92bfe9a376,a27d917d-8158-44ec-971f-88022da8bcfa,2025-06-19,EN ATTENTE,Reinscription,True,25.0
cf0a316f-d434-4ef7-b8e4-a184a7f481f3,e4911d5e-e277-4716-8c6d-f0eab10de677,dd98f8e2-14a4-4515-adbc-4f5237db22cd,2025-12-15,EN ATTENTE,Reinscription,False,10.0
a67f671c-d816-4352-ae2e-117cb48f9d9b,7a960479-027a-4a18-9550-c5f045b84b4b,60049a33-a189-4d79-b630-3a1ab9ba06ea,2025-12-11,EN ATTENTE,,,0.0
a6b9e855-ce5d-42c7-943a-b4587d264ae6,7c1c516c-e307-4339-854d-610c9701f81c,a27d917d-8158-44ec-971f-88022da8bcfa,2026-07-08,ANNULE,Reinscription ,False,-20.0
353876cc-7d43-456f-a51e-9cea55c9b78e,33e5035c-27c7-4bee-b374-c44e446ae61e,a27d917d-8158-44ec-971f-88022da8bcfa,2025-01-12,EN ATTENTE,NOUVELLE,,-20.0
9e3b7476-1461-4881-b3b4-9010836e84ad,c3fe6842-4fd4-4add-8d87-01a96260d5c7,dd98f8e2-14a4-4515-adbc-4f5237db22cd,2025-11-24,ANNULE,NOUVELLE,True,150.0
cb8168b0-36ee-4c29-a65f-85d13911954d,a3387856-5493-4b05-9764-83a5220075b8,960ab021-835c-40b9-8e16-21e923dbada9,2025-03-19,ANNULE,Reinscription ,False,25.0
d9174d99-4fad-4b7e-8262-cd0b6f01ece5,2b27229d-8e72-4e24-ac1f-cf52951a6f17,dd98f8e2-14a4-4515-adbc-4f5237db22cd,2027-03-14,EN ATTENTE,NOUVELLE,True,-20.0
3642f73a-565b-45c2-87d8-88caadc4ef30,96227fe6-7b13-4b56-9b03-dcdeb5a3102f,60049a33-a189-4d79-b630-3a1ab9ba06ea,2026-06-28,INSCRIT,NOUVELLE,True,-20.0
ad6a0c6e-03f4-4bc1-a9b1-289cafdcf3d7,292a4115-f714-4b64-9c70-f8c8f9c91110,2616a3e2-2efa-4aa4-9aff-da4e6d3c1201,2024-12-13,UNKNOWN,NOUVELLE,,10.0
f90937c2-76e7-4dae-b9ca-c00e1a232dde,8af83b92-5552-4ddf-927d-69b87fa428a1,a2434dc1-0b4e-4d31-8077-9cc933fa426e,2025-01-02,UNKNOWN,NOUVELLE,True,-20.0
8e750d7c-63ce-496f-a473-314b25327489,a937b5aa-a9f1-4924-8c12-48171e66a9d3,b4993e40-250f-4208-9f0f-6873b0b403ac,2026-04-30,UNKNOWN,Reinscription ,,-20.0
8fdc4cbe-dc53-4801-be9d-47cb12b2d555,ee847c6f-d6d7-4b88-8977-aa0a945f87dd,960ab021-835c-40b9-8e16-21e923dbada9,2026-03-24,INSCRIT,Reinscription,False,10.0
4090b3c8-18fe-45e2-907d-c418d17082ce,90c33527-adcf-4972-9f57-b3327b8631bf,a27d917d-8158-44ec-971f-88022da8bcfa,2026-05-01,EN ATTENTE,,True,10.0
f59c6e65-c608-45ee-ba07-f73ddd79aaae,9d829465-7e75-47a9-b1ba-c5dcb0046ef1,a27d917d-8158-44ec-971f-88022da8bcfa,2025-03-19,ANNULE,,False,25.0
647836ce-0da4-493e-aedc-560e58d84070,0e0d278f-5c97-4e4c-b180-fe7f238f9846,2616a3e2-2efa-4aa4-9aff-da4e6d3c1201,2026-02-07,ANNULE,Reinscription ,False,-20.0
2cff3893-8972-4cf1-b9cb-03989554c6bd,ca56865a-8ee3-42aa-b2c5-62f1a69ee658,b4993e40-250f-4208-9f0f-6873b0b403ac,2026-02-03,UNKNOWN,Reinscription ,False,10.0
f5ead7e6-c9a5-47a7-8069-fe5382ce5265,851ee115-6a7f-43fa-9b17-2ee5ebb2e213,ac40aeeb-e2de-4e1f-bb76-1fa0a450baf3,2025-12-12,INSCRIT,Nouvelle,True,10.0
7e129ebe-73a6-42c8-aabe-5b73d6947bb3,37d620a6-ec86-400c-853c-b73157371e3a,a2434dc1-0b4e-4d31-8077-9cc933fa426e,2026-03-05,UNKNOWN,NOUVELLE,,0.0
a20448cb-2398-4cd4-8030-07c8a6069e80,50dd5a14-8fd1-46c7-af24-0e2b63e8802b,b4993e40-250f-4208-9f0f-6873b0b403ac,2025-11-05,ANNULE,,True,25.0
2e46a128-71a9-4e64-9ac4-6ad0f17191f6,3ed4aba4-57e8-4eb8-9821-81f72f62a1f2,2273a1a4-dd6a-43f8-97de-67db2649ba4c,2026-04-27,INSCRIT,,False,150.0
1d915c65-3504-44f1-b4fd-cc4ad64f5343,de384563-b40c-402a-83a2-f6da70bf86ce,2616a3e2-2efa-4aa4-9aff-da4e6d3c1201,2024-11-04,INSCRIT,Reinscription,True,25.0
8b24c2a2-3290-4f24-ae62-0f4875881fdf,1e66b9ab-f684-439c-ad4d-7800e567d693,60049a33-a189-4d79-b630-3a1ab9ba06ea,2025-05-01,UNKNOWN,Reinscription ,True,0.0
bedd2480-c0e7-47e4-a45e-8e778110ee69,02f97805-b222-4e35-bbbd-db71bb9b765d,dd98f8e2-14a4-4515-adbc-4f5237db22cd,2025-08-31,ANNULE,Reinscription ,False,0.0
aa3ac244-d5a9-48ba-8bb2-d353c82a2cb5,d3acf41d-96cc-4831-a665-23b561513c0d,2616a3e2-2efa-4aa4-9aff-da4e6d3c1201,2025-03-08,EN ATTENTE,Reinscription ,,10.0
ee1c2f31-46de-4849-8eb7-089edd86c1a0,d17e625c-f0db-456f-9ae8-dd57c4633614,dd98f8e2-14a4-4515-adbc-4f5237db22cd,2026-05-31,EN ATTENTE,Nouvelle,False,150.0
d33f4d43-1783-4691-84ed-151de02d4ebc,4706982f-1f52-40d4-819b-ac0cc445d2ad,2273a1a4-dd6a-43f8-97de-67db2649ba4c,2025-08-09,EN ATTENTE,Reinscription ,False,150.0
fb7d5ff5-9529-4e01-aaab-34c0288fc6a9,7f9d6ee8-f75c-4e79-9779-1a9b42e58031,2616a3e2-2efa-4aa4-9aff-da4e6d3c1201,2027-07-19,UNKNOWN,,True,150.0
